section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,55,1788548607277965846,1788548607838590846,561,698.828,377.741,-7.235367177498254,13.233219604017139
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,56,1788548608088715846,1788548608814464846,726,928.58,496.672,7.493553329081149,5.711467566661732
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,57,1788548608884471846,1788548609560089846,676,669.361,498.19,-9.01026923474353,5.604570706183963
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,58,1788548609605214846,1788548609795339846,190,812.665,559.597,0.10829518170116487,1.7295962547527226
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,59,1788548609985588846,1788548611491963846,1506,687.885,484.397,-7.841206220816453,6.483824301562406
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,60,1788548611657087846,1788548611777212846,120,831.179,464.881,1.2925765749470035,7.747118686921893
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,61,1788548611832342846,1788548612607971846,776,701.106,504.24,-6.990280208665657,5.231926957043306
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,62,1788548612663097846,1788548613238586846,575,715.767,449.453,-6.085714670905482,8.706867051831574
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,63,1788548613283587846,1788548614029336846,746,847.444,453.292,2.3346085329859894,8.481301573692281
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,64,1788548614074336846,1788548614224598846,150,969.282,450.218,10.1253991659865,8.630706605474794
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,65,1788548614274586846,1788548614755089846,481,799.177,439.148,-0.7534797856914254,9.38060081218439
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,66,1788548614795085846,1788548615100346846,305,878.616,425.287,4.342629399053825,10.250926388422464
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,67,1788548615155460846,1788548615405585846,250,710.651,440.713,-6.41850918053966,9.258091657840122
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,68,1788548615705960846,1788548616091335846,385,778.885,1165.164,-2.323554655433903,-36.52605790108577
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,69,1788548616126335846,1788548616456585846,330,757.562,1059.119,-3.694171236844448,-29.794122058003286
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,70,1788548616491709846,1788548616586709846,95,782.291,1114.81,-2.0225383632512637,-33.32783175658121
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,71,1788548616776959846,1788548617037209846,260,816.765,124.573,0.4206541077885937,29.31174993872026
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,72,1788548617227334846,1788548618043095846,816,783.477,1100.291,-1.9253010682410288,-32.40932071947991
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,73,1788548618208333846,1788548619749707846,1541,834.282,309.526,1.5319182135264446,17.592899021187264
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,74,1788548619799832846,1788548620220207846,420,973.168,298.324,10.64846121341487,18.1990085080753
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,75,1788548620270207846,1788548620655582846,385,867.418,372.127,3.653891074968122,13.622210822750226
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,76,1788548620705582846,1788548621431336846,726,971.498,346.637,10.428448653420222,15.15953544594578
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,77,1788548621471331846,1788548621826706846,355,891.456,374.433,5.206006386905103,13.46644433870957
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,78,1788548621861711846,1788548622317081846,455,921.309,335.647,7.187301706674671,15.899579358726397
