section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,67,1788548864335091846,1788548864660466846,325
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,68,1788548865906591846,1788548866191841846,285
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,69,1788548884559091846,1788548884739339846,180
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,70,1788548887757089846,1788548887992339846,235
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,71,1788548889623844846,1788548889919214846,295
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,72,1788548890584838846,1788548890905098846,320
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,73,1788548891560713846,1788548891966088846,405
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,74,1788548901139712846,1788548901359965846,220
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,75,1788548901805337846,1788548902030587846,225
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,76,1788548912980835846,1788548913241085846,260
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,77,1788548915062835846,1788548915393085846,330
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,78,1788548915978710846,1788548916399085846,420
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,79,1788548918506087846,1788548918711209846,205
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,80,1788548920182592846,1788548920432834846,250
