section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,180,1788548717336688846,1788548717366685846,30,47.38943862915039,3.009845733642578,1573.455810546875,1995.07470703125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,181,1788548717526807846,1788548717551806846,25,26.324234008789062,1.6716728210449219,1044.9385986328125,1247.4300537109375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,182,1788548717947180846,1788548717967181846,20,19.258026123046875,1.2239190340042114,998.08203125,1142.3682861328125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,183,1788548718427680846,1788548718487680846,60,174.79762268066406,11.090503692626953,2985.94287109375,4614.35205078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,184,1788548718953184846,1788548718978184846,25,28.638696670532227,1.8168349266052246,1160.010009765625,1342.073974609375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,185,1788548719373555846,1788548719413555846,40,50.550907135009766,3.193460464477539,1322.35791015625,1774.4410400390625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,186,1788548719568680846,1788548719613805846,45,81.59497833251953,5.141383647918701,1865.9996337890625,2668.652099609375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,187,1788548719758934846,1788548719808930846,50,169.75347900390625,10.684136390686035,3414.07373046875,5210.23583984375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,188,1788548720129305846,1788548720159305846,30,37.761104583740234,2.3779008388519287,1262.1827392578125,1480.7716064453125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,189,1788548720494555846,1788548720529679846,35,79.94715118408203,5.034258842468262,2279.663330078125,3033.980712890625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,190,1788548720799929846,1788548720834929846,35,58.331642150878906,3.67521333694458,1668.0052490234375,2161.26025390625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,191,1788548721040054846,1788548721215304846,175,20.182706832885742,1.2935729026794434,3987.63818359375,9935.9775390625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,192,1788548721630679846,1788548721660679846,30,48.23689651489258,3.046998977661133,1508.435302734375,1774.7034912109375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,193,1788548721845804846,1788548721880929846,35,54.04304885864258,3.4096150398254395,1502.615478515625,1984.09033203125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,194,1788548722411429846,1788548722451429846,40,109.73893737792969,6.960180759429932,2740.482666015625,3973.240234375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,195,1788548722701679846,1788548722756679846,55,76.98468780517578,4.889499664306641,1489.593505859375,2036.9503173828125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,196,1788548723522428846,1788548723557432846,35,36.372528076171875,2.3091657161712646,1049.908447265625,1229.6016845703125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,197,1788548723937803846,1788548723967803846,30,38.99774932861328,2.476471185684204,1308.1600341796875,1598.873779296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,198,1788548724563428846,1788548724608428846,45,58.50093078613281,3.7092511653900146,1325.2598876953125,1695.6446533203125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,199,1788548724963809846,1788548724993803846,30,46.87641143798828,2.9674973487854004,1560.6285400390625,1879.518798828125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,200,1788548725158934846,1788548725204053846,45,64.28307342529297,4.06209659576416,1472.276611328125,2035.65869140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,201,1788548725469303846,1788548725524303846,55,136.61863708496094,8.632732391357422,2516.775390625,3996.43798828125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,202,1788548726159927846,1788548726199927846,40,55.35808563232422,3.5099709033966064,1390.87158203125,1819.6634521484375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,203,1788548727055802846,1788548727080802846,25,32.394168853759766,2.054610013961792,1324.853759765625,1550.5596923828125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,204,1788548727511177846,1788548727711427846,200,90.49803924560547,5.740370750427246,3068.180908203125,6316.7158203125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,205,1788548728216805846,1788548728261928846,45,79.9998779296875,5.071568489074707,1799.653564453125,2623.125732421875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,206,1788548728692301846,1788548728727301846,35,60.166709899902344,3.771090030670166,1730.51318359375,2090.43603515625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,207,1788548729508051846,1788548729543051846,35,100.9448013305664,6.349669933319092,2886.732421875,3875.273681640625
